1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.000615,0.000017,0.000215,0.000139,-0.000039,0.000184,-0.000015,-0.000110,0.032420,0.018906,0.018136,0.017273,0.014138,0.012764,0.005965,0.007513
0.000109,-0.000361,-0.000953,-0.000006,0.000040,0.000079,-0.000016,0.000000,0.025871,0.020420,0.024496,0.015424,0.017795,0.018911,0.007090,0.009203
-0.001031,0.000022,-0.000077,-0.000659,0.000016,-0.000267,0.000035,-0.000201,0.026817,0.017679,0.017892,0.016747,0.013770,0.016699,0.006285,0.008074
0.002333,-0.000809,-0.000196,0.000281,-0.000144,0.000194,-0.000009,-0.000128,0.030153,0.025001,0.023716,0.017438,0.018830,0.012818,0.005493,0.008263
0.007378,0.000428,0.000466,0.000280,0.000045,0.000332,-0.000010,0.000177,0.031754,0.019953,0.018616,0.019426,0.017768,0.017147,0.006885,0.010352
-0.000958,0.001003,-0.000570,0.000120,-0.000216,0.000233,-0.000018,-0.000110,0.030784,0.018617,0.024474,0.014007,0.016211,0.015766,0.005340,0.012040
-0.001899,0.001443,-0.000257,0.000255,0.000009,-0.000007,0.000020,0.000281,0.033856,0.018261,0.017942,0.014305,0.016079,0.016327,0.006194,0.010369
0.002188,0.000365,0.000548,-0.000032,-0.000042,0.000073,0.000008,0.000208,0.031664,0.022528,0.020286,0.018437,0.013936,0.013626,0.005971,0.009033
0.000181,-0.001025,-0.000465,-0.000184,-0.000248,-0.000226,0.000004,-0.000073,0.028649,0.018700,0.018225,0.016398,0.018435,0.018280,0.005203,0.010769
-0.001682,0.000798,-0.000409,0.000190,-0.000034,-0.000361,-0.000061,-0.000043,0.029052,0.019430,0.024400,0.017295,0.017880,0.015620,0.005693,0.009786
0.000778,0.000735,-0.000645,-0.000113,0.000407,0.000335,0.000057,-0.000214,0.037025,0.018334,0.017929,0.019775,0.016313,0.015896,0.007191,0.009344
-0.002261,0.000654,0.000393,-0.000158,0.000101,-0.000101,-0.000021,0.000378,0.031227,0.015855,0.020557,0.018371,0.014492,0.011138,0.006096,0.010656
0.004919,0.000960,-0.000782,-0.000346,-0.000231,-0.000207,-0.000000,0.000208,0.027288,0.025335,0.023950,0.017350,0.016987,0.016415,0.005113,0.012102
-0.002044,0.000359,-0.000533,0.000073,-0.000040,0.000170,0.000009,0.000256,0.026716,0.020115,0.020798,0.012212,0.012980,0.011992,0.004877,0.011814
-0.000669,-0.001489,-0.000312,-0.000227,0.000163,-0.000137,0.000010,0.000085,0.034036,0.025113,0.024547,0.017691,0.016440,0.013425,0.005099,0.009805
-0.004304,0.000441,0.000827,0.000131,0.000021,0.000310,-0.000031,-0.000262,0.028205,0.019309,0.018369,0.014616,0.016653,0.015696,0.006276,0.010497
-0.004955,0.000645,0.000740,0.000235,0.000443,-0.000178,0.000026,-0.000092,0.027198,0.016810,0.019070,0.018756,0.019606,0.017497,0.007289,0.008580
-0.001230,0.000409,0.000255,0.000042,0.000022,0.000005,-0.000013,-0.000012,0.034103,0.020684,0.018519,0.017507,0.017724,0.011673,0.005603,0.010482
